"Product Title","Product Description","Product UID","Print File URL","Should Publish Images?"
"Neko Paw — Yellow","Bold graphic print of a cat's paw in graphic outline style. Part of Stine Weirsøe Flamant's NEKO series — a love letter to cats in pop-art form. Yellow on white.","neko-paw-yellow","https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/neko/Neko%20Paw%20%E2%80%94%20Yellow.png","true"
"Neko Paw — Yellow Neon","Electric neon yellow cat paw. Part of the NEKO series by Stine Weirsøe Flamant — bold, graphic, instantly recognisable.","neko-paw-yellow-neon","https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/neko/Neko%20Paw%20%E2%80%94%20Yellow%20Neon.png","true"
"Neko Paw — Yellow & Blue","Two-colour cat paw print in yellow and blue. NEKO series by Stine Weirsøe Flamant — graphic, playful, contemporary Danish art.","neko-paw-yellow-and-blue","https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/neko/Neko%20Paw%20%E2%80%94%20Yellow%20%26%20Blue.png","true"
"Neko Paw — Pink","Soft pink cat paw in bold graphic outline. NEKO series by Stine Weirsøe Flamant — the same iconic form in a warmer tone.","neko-paw-pink","https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/neko/Neko%20Paw%20%E2%80%94%20Pink.png","true"
"Neko Paw — Lilac","Dreamy lilac cat paw — a quieter voice in the NEKO series by Stine Weirsøe Flamant. Bold shape, soft colour.","neko-paw-lilac","https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/neko/Neko%20Paw%20%E2%80%94%20Lilac.png","true"
"Neko Paw — Yellow II","Second yellow variant of the NEKO paw series. Stine Weirsøe Flamant's iconic cat paw in a slightly different composition.","neko-paw-yellow-ii","https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/neko/Neko%20Paw%20%E2%80%94%20Yellow%20II.png","true"
"Neko Paw — Blue","Cool blue cat paw print in bold graphic outline. Part of the NEKO series by Stine Weirsøe Flamant.","neko-paw-blue","https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/neko/neko_paw_blue.png","true"
"Neko Paw — Red","Fierce red cat paw — a bolder, warmer take on Stine Weirsøe Flamant's NEKO paw series.","neko-paw-red","https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/neko/neko_paw_red.png","true"
"Neko Paw — Black & White","The NEKO paw stripped back to pure graphic form — black outline on white. Stine Weirsøe Flamant.","neko-paw-black-and-white","https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/neko/neko_paw_bw.png","true"
"Neko — Pink","A pink variant from Stine Weirsøe Flamant's NEKO cat series. Graphic, bold, with a pop-art sensibility.","neko-pink","https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/neko/neko_pink.png","true"
"Neko Human I","Where human and cat meet — a digital drawing from Stine Weirsøe Flamant's exploration of the NEKO identity. Part of the Procreate series.","neko-human-i","https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/neko/Neko%20Human%20I.png","true"
"Neko Human II","Second piece in the Neko Human series. Stine Weirsøe Flamant blends human form and cat imagery in fluid digital line work.","neko-human-ii","https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/neko/Neko%20Human%20II.png","true"
"SHERO — Purple","The SHERO print in deep purple — Stine Weirsøe Flamant's feminist pop-art icon. Bold lettering and graphic energy on transparent ground.","shero-purple","https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/shero/SHERO%20%E2%80%94%20Purple.png","true"
"SHERO — Indigo","SHERO in indigo — a cool, dark take on Stine Weirsøe Flamant's SHERO series. Feminist art with graphic punch.","shero-indigo","https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/shero/SHERO%20%E2%80%94%20Indigo.png","true"
"SHERO — III","Third print in the SHERO series by Stine Weirsøe Flamant. Layered colour, strong graphic composition, feminist energy.","shero-iii","https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/shero/SHERO%20%E2%80%94%20III.png","true"
