"Product Title","Product Description","Product UID","Print File URL","Should Publish Images?"
"Neko Paw — Yellow — Semi-Glossy Poster","Bold graphic print of a cat's paw in graphic outline style. Part of Stine Weirsøe Flamant's NEKO series — a love letter to cats in pop-art form. Yellow on white.","flat_a3_200-gsm-80lb-coated-silk_4-0_ver","https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/neko/Neko%20Paw%20%E2%80%94%20Yellow.png","Yes"
"Neko Paw — Yellow Neon — Semi-Glossy Poster","Electric neon yellow cat paw. Part of the NEKO series by Stine Weirsøe Flamant — bold, graphic, instantly recognisable.","flat_a3_200-gsm-80lb-coated-silk_4-0_ver","https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/neko/Neko%20Paw%20%E2%80%94%20Yellow%20Neon.png","Yes"
"Neko Paw — Yellow & Blue — Semi-Glossy Poster","Two-colour cat paw print in yellow and blue. NEKO series by Stine Weirsøe Flamant — graphic, playful, contemporary Danish art.","flat_a3_200-gsm-80lb-coated-silk_4-0_ver","https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/neko/Neko%20Paw%20%E2%80%94%20Yellow%20%26%20Blue.png","Yes"
"Neko Paw — Pink — Semi-Glossy Poster","Soft pink cat paw in bold graphic outline. NEKO series by Stine Weirsøe Flamant — the same iconic form in a warmer tone.","flat_a3_200-gsm-80lb-coated-silk_4-0_ver","https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/neko/Neko%20Paw%20%E2%80%94%20Pink.png","Yes"
"Neko Paw — Lilac — Semi-Glossy Poster","Dreamy lilac cat paw — a quieter voice in the NEKO series by Stine Weirsøe Flamant. Bold shape, soft colour.","flat_a3_200-gsm-80lb-coated-silk_4-0_ver","https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/neko/Neko%20Paw%20%E2%80%94%20Lilac.png","Yes"
"Neko Paw — Yellow II — Semi-Glossy Poster","Second yellow variant of the NEKO paw series. Stine Weirsøe Flamant's iconic cat paw in a slightly different composition.","flat_a3_200-gsm-80lb-coated-silk_4-0_ver","https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/neko/Neko%20Paw%20%E2%80%94%20Yellow%20II.png","Yes"
"Neko Paw — Red — Semi-Glossy Poster","Fierce red cat paw — a bolder, warmer take on Stine Weirsøe Flamant's NEKO paw series.","flat_a3_200-gsm-80lb-coated-silk_4-0_ver","https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/neko/neko_paw_red.png","Yes"
"Neko — Pink — Semi-Glossy Poster","A pink variant from Stine Weirsøe Flamant's NEKO cat series. Graphic, bold, with a pop-art sensibility.","flat_a3_200-gsm-80lb-coated-silk_4-0_ver","https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/neko/neko_pink.png","Yes"
"Neko Human I — Semi-Glossy Poster","Where human and cat meet — a digital drawing from Stine Weirsøe Flamant's exploration of the NEKO identity. Part of the Procreate series.","flat_a3_200-gsm-80lb-coated-silk_4-0_ver","https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/neko/Neko%20Human%20I.png","Yes"
"Neko Human II — Semi-Glossy Poster","Second piece in the Neko Human series. Stine Weirsøe Flamant blends human form and cat imagery in fluid digital line work.","flat_a3_200-gsm-80lb-coated-silk_4-0_ver","https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/neko/Neko%20Human%20II.png","Yes"
