"Product Title","Product Description","Product UID","Print File URL","Should Publish Images?"
"Neko Paw — Blue — Art Print","Cool blue cat paw print in bold graphic outline. Part of the NEKO series by Stine Weirsøe Flamant.","fine_arts_poster_geo_simplified_product_12-0_ver_300x300-mm-12x12-inch_200-gsm-80lb-enhanced-uncoated","https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/neko/neko_paw_blue.png","Yes"
"Neko Paw — Black & White — Art Print","The NEKO paw stripped back to pure graphic form — black outline on white. Stine Weirsøe Flamant.","fine_arts_poster_geo_simplified_product_12-0_ver_300x300-mm-12x12-inch_200-gsm-80lb-enhanced-uncoated","https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/neko/neko_paw_bw.png","Yes"
"Mask — Conformist — Art Print","A mask that wears its role well — Stine Weirsøe Flamant's wry take on social performance and conformity. Procreate digital art.","fine_arts_poster_geo_simplified_product_12-0_ver_300x300-mm-12x12-inch_200-gsm-80lb-enhanced-uncoated","https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/masks/Mask%20%E2%80%94%20Conformist.png","Yes"
"Sea Monsters — Gold — Art Print","Sea Monsters in warm gold — the same beloved creatures in a richer, more celebratory palette. Stine Weirsøe Flamant.","fine_arts_poster_geo_simplified_product_12-0_ver_300x300-mm-12x12-inch_200-gsm-80lb-enhanced-uncoated","https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/patterns/Sea%20Monsters%20%E2%80%94%20Gold.png","Yes"
"Sea Monsters — Cream — Art Print","A quieter, cream-toned take on the Sea Monsters series. Soft and elegant — Stine Weirsøe Flamant.","fine_arts_poster_geo_simplified_product_12-0_ver_300x300-mm-12x12-inch_200-gsm-80lb-enhanced-uncoated","https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/patterns/Sea%20Monsters%20%E2%80%94%20Cream.png","Yes"
"Monsters — Pattern — Art Print","The full monster pattern — a repeat print built from Stine Weirsøe Flamant's creature drawings. Playful, dense, and endlessly surprising.","fine_arts_poster_geo_simplified_product_12-0_ver_300x300-mm-12x12-inch_200-gsm-80lb-enhanced-uncoated","https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/patterns/Monsters%20%E2%80%94%20Pattern.png","Yes"
"Kaninskoven — Art Print","Rabbit forest — a tile pattern of dense woodland populated by small animals. Stine Weirsøe Flamant's intricate repeat print design.","fine_arts_poster_geo_simplified_product_12-0_ver_300x300-mm-12x12-inch_200-gsm-80lb-enhanced-uncoated","https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/patterns/Kaninskoven.png","Yes"
"Floating Poppies — Art Print","Poppies drifting across a pale field — loose, graphic, free. Stine Weirsøe Flamant's Procreate botanical work.","fine_arts_poster_geo_simplified_product_12-0_ver_300x300-mm-12x12-inch_200-gsm-80lb-enhanced-uncoated","https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/botanical/Floating%20Poppies.png","Yes"
"Night Poppies — Art Print","Poppies after dark — deep tones, quiet drama. Stine Weirsøe Flamant's digital botanical work.","fine_arts_poster_geo_simplified_product_12-0_ver_300x300-mm-12x12-inch_200-gsm-80lb-enhanced-uncoated","https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/botanical/Night%20Poppies.png","Yes"
"Poppy Field — Art Print","A whole field of poppies — Stine Weirsøe Flamant's loose, expressive digital interpretation of a classic subject.","fine_arts_poster_geo_simplified_product_12-0_ver_300x300-mm-12x12-inch_200-gsm-80lb-enhanced-uncoated","https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/botanical/Poppy%20Field.png","Yes"
"Forget-Me-Not — Art Print","The small blue flower rendered in bold digital stroke — tender subject, graphic treatment. Stine Weirsøe Flamant.","fine_arts_poster_geo_simplified_product_12-0_ver_300x300-mm-12x12-inch_200-gsm-80lb-enhanced-uncoated","https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/botanical/Forget-Me-Not.png","Yes"
"Sleeping Cat — Art Print","A cat, entirely at rest — soft digital lines, warm palette. Stine Weirsøe Flamant's tender Procreate portrait of feline stillness.","fine_arts_poster_geo_simplified_product_12-0_ver_300x300-mm-12x12-inch_200-gsm-80lb-enhanced-uncoated","https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/animals/Sleeping%20Cat.png","Yes"
"Geometric Garden — Art Print","Garden forms reduced to geometry — Stine Weirsøe Flamant's Procreate work where botanical meets minimal.","fine_arts_poster_geo_simplified_product_12-0_ver_300x300-mm-12x12-inch_200-gsm-80lb-enhanced-uncoated","https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/various/Geometric%20Garden.png","Yes"
