"Product Title","Product Description","Product UID","Print File URL","Should Publish Images?"
"Neko Paw — Yellow — Tote Bag","Bold graphic print of a cat's paw in graphic outline style. Part of Stine Weirsøe Flamant's NEKO series — a love letter to cats in pop-art form. Yellow on white.","bag_product_bsc_tote-bag_bqa_prm_bsi_std-t_bco_natural_bpr_4-4","https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/neko/Neko%20Paw%20%E2%80%94%20Yellow.png","Yes"
"Neko Paw — Yellow Neon — Tote Bag","Electric neon yellow cat paw. Part of the NEKO series by Stine Weirsøe Flamant — bold, graphic, instantly recognisable.","bag_product_bsc_tote-bag_bqa_prm_bsi_std-t_bco_natural_bpr_4-4","https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/neko/Neko%20Paw%20%E2%80%94%20Yellow%20Neon%20transparent.png","Yes"
"Neko Paw — Yellow & Blue — Tote Bag","Two-colour cat paw print in yellow and blue. NEKO series by Stine Weirsøe Flamant — graphic, playful, contemporary Danish art.","bag_product_bsc_tote-bag_bqa_prm_bsi_std-t_bco_natural_bpr_4-4","https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/neko/Neko%20Paw%20%E2%80%94%20Yellow%20%26%20Blue%20transparent.png","Yes"
"Neko Paw — Pink — Tote Bag","Soft pink cat paw in bold graphic outline. NEKO series by Stine Weirsøe Flamant — the same iconic form in a warmer tone.","bag_product_bsc_tote-bag_bqa_prm_bsi_std-t_bco_natural_bpr_4-4","https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/neko/Neko%20Paw%20%E2%80%94%20Pink.png","Yes"
"Neko Paw — Lilac — Tote Bag","Dreamy lilac cat paw — a quieter voice in the NEKO series by Stine Weirsøe Flamant. Bold shape, soft colour.","bag_product_bsc_tote-bag_bqa_prm_bsi_std-t_bco_natural_bpr_4-4","https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/neko/Neko%20Paw%20%E2%80%94%20Lilac%20transparent.png","Yes"
"Neko Paw — Yellow II — Tote Bag","Second yellow variant of the NEKO paw series. Stine Weirsøe Flamant's iconic cat paw in a slightly different composition.","bag_product_bsc_tote-bag_bqa_prm_bsi_std-t_bco_natural_bpr_4-4","https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/neko/Neko%20Paw%20%E2%80%94%20Yellow%20II.png","Yes"
"Neko Paw — Blue — Tote Bag","Cool blue cat paw print in bold graphic outline. Part of the NEKO series by Stine Weirsøe Flamant.","bag_product_bsc_tote-bag_bqa_prm_bsi_std-t_bco_natural_bpr_4-4","https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/neko/neko_paw_blue.png","Yes"
"Neko Paw — Red — Tote Bag","Fierce red cat paw — a bolder, warmer take on Stine Weirsøe Flamant's NEKO paw series.","bag_product_bsc_tote-bag_bqa_prm_bsi_std-t_bco_natural_bpr_4-4","https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/neko/neko_paw_red_transparent.png","Yes"
"Neko Paw — Black & White — Tote Bag","The NEKO paw stripped back to pure graphic form — black outline on white. Stine Weirsøe Flamant.","bag_product_bsc_tote-bag_bqa_prm_bsi_std-t_bco_natural_bpr_4-4","https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/neko/neko_paw_bw_transparent.png","Yes"
"Neko — Pink — Tote Bag","A pink variant from Stine Weirsøe Flamant's NEKO cat series. Graphic, bold, with a pop-art sensibility.","bag_product_bsc_tote-bag_bqa_prm_bsi_std-t_bco_natural_bpr_4-4","https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/neko/neko_pink_transparent.png","Yes"
